round,strats,stratsz,playerid,gameid,sessid,created,id
0,"0 0 1",3,65,3,87,1542647777,194
0,"0 1 0 0",4,53,3,70,1542647778,195
0,"0 1 0",3,41,1,58,1542647782,196
0,"0 1 0",3,53,1,70,1542647784,197
0,"1/2 0 0 1/2",4,59,3,76,1542647786,198
0,"0 0 1/2 0 1/2",5,65,2,87,1542647789,199
0,"1/2 1/2 0",3,63,1,85,1542647789,200
0,"1 0 0",3,38,1,107,1542647792,201
0,"0 3/5 2/5",3,57,1,74,1542647792,202
0,"0 0 0 1 0",5,53,2,70,1542647792,203
0,"0 1/2 0 1/2",4,61,3,78,1542647796,204
0,"1/2 0 1/2",3,59,1,76,1542647800,205
0,"0 0 1",3,65,1,87,1542647803,206
0,"0 0 1",3,61,1,78,1542647803,207
0,"0 0 0 1 0",5,32,2,49,1542647803,208
0,"0 1/2 1/4 1/4 0",5,60,2,79,1542647807,209
0,"0 0 0 0 1",5,61,2,78,1542647807,210
0,"0 1/2 0 0 1/2",5,38,2,114,1542647808,211
0,"0 1 0 0",4,31,3,48,1542647809,212
0,"0 0 0 1/2 1/2",5,59,2,76,1542647809,213
0,"0 0 0 0 1",5,48,2,65,1542647809,214
0,"0 0 2/5 3/5 0",5,57,2,74,1542647814,215
0,"0 0 3/10 1/5 1/2",5,63,2,85,1542647816,216
0,"0 0 0 2/3 1/3",5,55,2,72,1542647816,217
0,"0 0 1/2 1/2 0",5,41,2,58,1542647818,218
0,"1/4 1/2 1/4",3,38,3,114,1542647819,219
1,"0 2/5 3/5",3,57,1,74,1542647833,220
1,"0 1 0 0",4,31,3,48,1542647835,221
1,"0 1 0 0",4,53,3,70,1542647835,222
1,"1/4 1/4 1/2",3,38,1,114,1542647835,223
1,"0 0 0 0 1",5,48,2,65,1542647835,224
1,"1/5 3/5 1/5",3,34,3,86,1542647839,225
1,"0 1 0",3,53,1,70,1542647839,226
1,"0 0 1 0",4,61,3,78,1542647841,227
1,"1/2 1/2 0 0",4,59,3,76,1542647843,228
1,"1/5 2/5 2/5",3,63,1,85,1542647843,229
1,"0 0 0 1 0",5,32,2,49,1542647845,230
1,"1 0 0 0 0",5,34,2,86,1542647846,231
1,"0 1 0",3,41,1,58,1542647847,232
1,"1 0 0 0",4,48,3,65,1542647848,233
1,"0 0 1",3,61,1,78,1542647849,234
1,"0 0 0 0 1",5,53,2,70,1542647849,235
1,"0 0 0 1 0",5,31,2,48,1542647850,236
1,"0 1 0",3,32,3,49,1542647852,237
1,"1/2 0 1/2",3,59,1,76,1542647853,238
1,"0 0 3/5 2/5 0",5,57,2,74,1542647853,239
1,"0 0 0 0 1",5,61,2,78,1542647854,240
1,"0 0 1/5 3/10 1/2",5,63,2,85,1542647855,241
1,"1/2 1/2 0",3,67,1,90,1542647855,242
1,"0 1 0",3,48,1,65,1542647856,243
1,"0 0 1/2 1/2 0",5,60,2,79,1542647857,244
1,"1/3 1/3 1/3",3,66,1,89,1542647857,245
1,"0 0 0 1 0",5,41,2,58,1542647858,246
1,"3/10 1/5 1/2",3,34,1,86,1542647859,247
1,"1/5 1/5 1/10 2/5 1/10",5,38,2,114,1542647861,248
1,"0 0 0 1/2 1/2",5,59,2,76,1542647862,249
1,"0 0 0 1 0",5,55,2,72,1542647862,250
1,"0 1 0",3,31,1,48,1542647864,251
1,"0 1/2 1/2",3,57,3,74,1542647864,252
1,"1 0 0",3,32,1,49,1542647867,253
1,"0 0 0 1",4,41,3,58,1542647867,254
1,"33/100 33/100 17/50",3,38,3,114,1542647870,255
1,"3/10 2/5 0 3/10",4,63,3,85,1542647871,256
1,"1/4 1/4 1/4 1/4",4,69,3,92,1542647875,257
1,"3/10 7/10 0",3,60,3,79,1542647878,258
2,"0 0 1 0",4,61,3,78,1542647890,259
2,"0 1 0 0",4,53,3,70,1542647891,260
2,"1/4 1/2 1/4",3,38,1,114,1542647891,261
2,"0 0 0 0 1",5,48,2,65,1542647893,262
2,"1 0 0",3,63,1,85,1542647895,263
2,"0 0 0 0 1",5,55,2,72,1542647895,264
2,"0 0 1",3,53,1,70,1542647895,265
2,"1 0 0",3,66,1,89,1542647897,266
2,"0 0 1",3,61,1,78,1542647897,267
2,"0 0 1",3,34,3,86,1542647898,268
2,"1/2 1/2 0",3,67,1,90,1542647899,269
2,"0 1 0",3,33,3,50,1542647899,270
2,"0 1 0",3,41,1,58,1542647899,271
2,"1/2 1/2 0 0",4,59,3,76,1542647900,272
2,"0 1 0",3,55,3,72,1542647901,273
2,"0 2/5 3/5",3,57,1,74,1542647902,274
2,"1/5 1/5 1/5 1/5 1/5",5,38,2,114,1542647902,275
2,"0 0 0 0 1",5,63,2,85,1542647903,276
2,"0 0 0 0 1",5,53,2,70,1542647904,277
2,"0 0 0 0 1",5,61,2,78,1542647905,278
2,"1 0 0 0",4,48,3,65,1542647906,279
2,"0 1/2 1/2 0",4,31,3,48,1542647909,280
2,"0 0 0 1 0",5,41,2,58,1542647910,281
2,"0 0 0 1 0",5,32,2,49,1542647910,282
2,"1/2 0 1/2",3,59,1,76,1542647911,283
2,"0 0 1/2 1/4 1/4",5,60,2,79,1542647911,284
2,"0 0 1/2 1/2 0",5,57,2,74,1542647913,285
