round,playerid,aggrpayoff,aggrtickets,curpayoff,id
0,66,0,0,0,112
0,65,64/3,22,64/3,113
0,57,0,0,0,114
0,34,0,0,0,115
0,31,0,0,0,116
0,63,0,0,0,117
0,69,0,0,0,118
0,38,229/12,20,229/12,119
0,61,107/4,27,107/4,120
0,60,0,0,0,121
0,67,0,0,0,122
0,32,0,0,0,123
0,53,23,23,23,124
0,41,0,0,0,125
0,55,0,0,0,126
0,48,0,0,0,127
0,59,203/8,26,203/8,128
0,62,0,0,0,129
0,33,0,0,0,130
0,56,0,0,0,131
1,57,999/35,29,999/35,132
1,48,3339/200,17,3339/200,133
1,59,9119/200,46,1011/50,134
1,63,40973/2000,21,40973/2000,135
1,66,0,0,0,136
1,34,11493/700,17,11493/700,137
1,56,0,0,0,138
1,38,111644/2625,43,82067/3500,139
1,31,2647/100,27,2647/100,140
1,55,0,0,0,141
1,61,951/20,48,104/5,142
1,32,359/14,26,359/14,143
1,67,0,0,0,144
1,69,0,0,0,145
1,60,0,0,0,146
1,33,0,0,0,147
1,41,493/20,25,493/20,148
1,53,2241/50,45,1091/50,149
0,71,0,0,0,150
1,71,0,0,0,151
0,37,0,0,0,152
1,37,0,0,0,153
2,67,0,0,0,154
2,38,1352977/21000,65,6131/280,155
2,57,7909/140,57,559/20,156
2,48,71771/1800,40,1043/45,157
2,32,815/14,59,228/7,158
2,59,126791/1800,71,1118/45,159
2,61,1859/24,78,3589/120,160
2,34,7122/175,41,3399/140,161
2,55,853/42,21,853/42,162
2,56,0,0,0,163
2,33,0,0,0,164
2,63,806257/18000,45,875/36,165
2,66,0,0,0,166
2,37,0,0,0,167
2,71,0,0,0,168
2,60,1441/56,26,1441/56,169
2,31,46673/900,52,457/18,170
2,41,18799/360,53,1985/72,171
2,69,0,0,0,172
2,53,44237/600,74,3469/120,173
1,62,0,0,0,174
2,62,0,0,0,175
0,73,0,0,0,176
1,73,0,0,0,177
2,73,0,0,0,178
0,35,0,0,0,179
1,35,0,0,0,180
2,35,0,0,0,181
0,75,0,0,0,182
1,75,0,0,0,183
2,75,0,0,0,184
3,75,0,0,0,185
3,38,3622079/42000,87,349/16,186
3,53,93097/900,104,53483/1800,187
3,73,0,0,0,188
3,67,0,0,0,189
3,61,24181/225,108,54023/1800,190
3,57,466223/5600,84,21409/800,191
3,55,14993/336,45,389/16,192
3,48,29041/450,65,44393/1800,193
3,34,333639/5600,60,3021/160,194
3,59,39297/400,99,100091/3600,195
3,37,0,0,0,196
3,63,683431/9000,76,112121/3600,197
3,71,0,0,0,198
3,56,0,0,0,199
3,60,58381/1120,53,4223/160,200
3,32,9761/112,88,463/16,201
3,41,35917/450,80,49673/1800,202
3,35,0,0,0,203
0,74,0,0,0,204
1,74,0,0,0,205
2,74,0,0,0,206
3,74,0,0,0,207
3,69,0,0,0,208
3,66,1573/50,32,1573/50,209
3,31,18698/225,84,9373/300,210
3,33,0,0,0,211
4,53,812083/6300,129,13367/525,212
4,31,347629/3150,111,28619/1050,213
4,67,0,0,0,214
4,73,0,0,0,215
4,55,120493/1680,72,271/10,216
4,38,4496939/42000,108,2083/100,217
4,32,27075/224,121,1079/32,218
4,33,0,0,0,219
4,66,1573/50,32,0,220
4,60,88831/1120,80,435/16,221
4,34,423449/5600,76,1283/80,222
4,57,315309/2800,113,4697/160,223
4,37,0,0,0,224
4,74,0,0,0,225
4,48,280369/3150,90,12847/525,226
4,61,210313/1575,134,13682/525,227
4,71,4124/175,24,4124/175,228
4,63,6494707/63000,104,57023/2100,229
4,41,328501/3150,105,12847/525,230
4,59,1025449/8400,123,50053/2100,231
4,56,839/40,21,839/40,232
4,35,0,0,0,233
4,69,0,0,0,234
4,75,0,0,0,235
0,36,0,0,0,236
1,36,0,0,0,237
2,36,0,0,0,238
3,36,0,0,0,239
4,36,0,0,0,240
5,38,1348667/10500,129,42749/2000,241
5,35,0,0,0,242
5,67,378/25,16,378/25,243
5,32,851959/5600,153,6253/200,244
5,53,1970813/12600,157,16507/600,245
5,74,0,0,0,246
5,73,28739/1200,24,28739/1200,247
5,55,4006339/42000,96,23667/1000,248
5,37,1023/50,21,1023/50,249
5,56,839/40,21,0,250
5,48,5850631/50400,117,64987/2400,251
5,34,524053/5600,94,3593/200,252
5,71,8581/168,52,16507/600,253
5,60,604371/5600,108,2861/100,254
5,41,1660651/12600,132,16507/600,255
5,31,3481571/25200,139,33359/1200,256
5,36,0,0,0,257
5,61,817343/5040,163,34367/1200,258
5,57,79887/560,143,6009/200,259
5,66,140263/2400,59,64759/2400,260
5,59,4942181/33600,148,24011/960,261
5,63,16605761/126000,132,172207/6000,262
5,75,0,0,0,263
5,33,0,0,0,264
0,72,0,0,0,265
1,72,0,0,0,266
2,72,0,0,0,267
3,72,0,0,0,268
4,72,0,0,0,269
5,72,0,0,0,270
0,70,0,0,0,271
1,70,0,0,0,272
2,70,0,0,0,273
3,70,0,0,0,274
4,70,0,0,0,275
5,70,0,0,0,276
6,70,0,0,0,277
6,75,0,0,0,278
6,32,1041099/5600,186,1351/40,279
6,57,97639/560,175,317/10,280
6,66,625673/7200,87,51221/1800,281
6,74,1807/60,31,1807/60,282
6,37,10357/200,52,1253/40,283
6,73,21479/400,54,17849/600,284
6,41,50887/315,162,17849/600,285
6,53,579883/3150,185,49817/1800,286
6,60,730483/5600,131,563/25,287
6,34,660693/5600,118,122/5,288
6,48,7467967/50400,149,3209/100,289
6,67,1857/50,38,1101/50,290
0,86,0,0,0,291
1,86,0,0,0,292
2,86,0,0,0,293
3,86,0,0,0,294
4,86,0,0,0,295
5,86,0,0,0,296
6,86,0,0,0,297
6,56,1673/40,42,417/20,298
6,33,729/25,30,729/25,299
