round,gameid,id,currentsp1,currentsp2,skip,plays,roundcount
0,1,355,"1/6 1/3 1/2","1/2 0 1/2",0,5,1
0,2,356,"0 0 0 1/2 1/2","0 1/4 1/4 0 1/2",0,5,1
0,3,357,"1/6 1/2 0 1/3","1/8 1/4 5/8",0,5,1
1,1,358,"1/10 22/35 19/70","31/80 17/80 2/5",0,11,2
1,2,359,"0 0 1/35 2/5 4/7","3/10 1/20 7/40 9/20 1/40",0,11,2
1,3,360,"9/35 29/70 1/7 13/70","53/400 243/400 13/50",0,11,2
2,1,361,"5/14 2/7 5/14","13/72 23/45 37/120",0,13,3
2,2,362,"0 0 0 3/14 11/14","1/30 1/15 17/60 3/8 29/120",0,13,3
2,3,363,"3/14 2/7 2/7 3/14","1/6 5/8 5/24",0,13,3
3,1,364,"0 9/16 7/16","79/300 26/75 39/100",0,14,4
3,2,365,"0 0 0 3/8 5/8","1/30 3/40 19/120 157/360 107/360",0,14,4
3,3,366,"3/16 5/16 3/8 1/8","17/60 5/8 11/120",0,14,4
4,1,367,"0 9/16 7/16","349/2100 829/2100 461/1050",0,15,5
4,2,368,"0 0 0 1/4 3/4","2/35 1/5 13/70 27/70 6/35",0,15,5
4,3,369,"1/16 7/16 3/8 1/8","7/30 209/420 113/420",0,15,5
5,1,370,"1/10 3/20 3/4","163/800 147/400 343/800",0,18,6
5,2,371,"0 0 1/10 7/20 11/20","1/8 3/20 3/20 5/16 21/80",0,18,6
5,3,372,"1/20 67/100 7/25 0","349/2400 1369/2400 341/1200",0,18,6
6,1,373,"0 9/20 11/20","1219/3600 1579/3600 401/1800",0,22,7
6,2,374,"0 0 0 3/10 7/10","7/120 1/30 9/40 11/24 9/40",0,22,7
6,3,375,"1/20 11/20 2/5 0","61/300 271/400 143/1200",0,22,7
7,1,376,"1/22 7/11 7/22","303/1000 523/1000 87/500",0,21,8
7,2,377,"0 1/11 0 1/2 9/22","9/200 13/200 4/25 101/200 9/40",0,21,8
7,3,378,"3/22 9/22 5/11 0","213/1000 287/500 213/1000",0,21,8
8,1,379,"1/10 11/20 7/20","133/1100 101/275 563/1100",0,21,9
8,2,380,"0 0 0 9/20 11/20","1/22 7/110 21/55 39/110 17/110",0,21,9
8,3,381,"1/10 9/20 9/20 0","41/275 763/1100 173/1100",0,21,9
9,1,382,"1/12 1/2 5/12","51/275 563/1100 333/1100",0,23,10
9,2,383,"0 0 1/12 7/12 1/3","1/55 6/55 49/220 23/44 7/55",0,23,10
9,3,384,"1/24 7/12 3/8 0","53/1100 487/550 73/1100",0,23,10
10,1,385,"4/65 63/130 59/130","79/420 157/420 46/105",0,27,11
10,2,386,"1/65 1/65 17/130 31/65 47/130","1/28 3/140 29/140 61/140 3/10",0,27,11
10,3,387,"3/65 27/65 59/130 11/130","3/28 3/4 1/7",0,27,11
11,1,388,"49/390 77/195 187/390","91/500 337/750 553/1500",0,28,12
11,2,389,"0 0 32/195 92/195 71/195","2/25 7/150 59/225 133/450 71/225",0,28,12
11,3,390,"1/13 6/13 6/13 0","29/250 1073/1500 253/1500",0,28,12
12,1,391,"17/210 107/210 43/105","333/1400 237/700 593/1400",0,28,13
12,2,392,"0 0 4/105 29/84 37/60","1/70 1/70 39/140 29/70 39/140",0,28,13
12,3,393,"3/28 11/28 3/7 1/14","99/1400 1003/1400 149/700",0,28,13
13,1,394,"17/225 107/225 101/225","5/26 103/260 107/260",0,28,14
13,2,395,"0 0 3/50 73/150 34/75","0 0 10/39 41/78 17/78",0,28,14
13,3,396,"1/10 7/15 13/30 0","11/78 137/195 61/390",0,28,14
14,1,397,"13/140 29/70 69/140","5/36 19/45 79/180",0,29,15
14,2,398,"0 0 2/35 79/140 53/140","1/60 0 269/900 98/225 56/225",0,29,15
14,3,399,"1/28 17/35 67/140 0","43/450 337/450 7/45",0,29,15
15,1,400,"17/225 122/225 86/225","829/4800 523/1200 1879/4800",0,31,16
15,2,401,"0 0 49/450 217/450 92/225","23/320 1/40 13/48 169/480 269/960",0,31,16
15,3,402,"1/15 7/15 13/30 1/30","311/2400 3109/4800 1069/4800",0,31,16
16,1,403,"9/70 73/140 7/20","73/450 29/90 116/225",0,29,17
16,2,404,"0 0 9/70 16/35 29/70","7/150 2/75 227/900 67/180 68/225",0,29,17
16,3,405,"5/84 46/105 67/140 1/42","4/45 289/450 121/450",0,29,17
17,1,406,"1/30 3/5 11/30","961/4500 2071/4500 367/1125",0,30,18
17,2,407,"0 0 4/45 22/45 19/45","2/75 7/75 133/450 151/450 56/225",0,30,18
17,3,408,"1/5 2/5 11/30 1/30","341/2250 691/1125 527/2250",0,30,18
18,1,409,"13/150 83/150 9/25","571/2400 1589/4800 2069/4800",0,31,19
18,2,410,"0 0 53/900 449/900 199/450","11/240 1/40 79/480 25/48 39/160",0,31,19
18,3,411,"1/5 2/5 11/30 1/30","469/4800 1751/2400 829/4800",0,31,19
19,1,412,"13/160 11/20 59/160","947/5400 2399/5400 1027/2700",0,34,20
19,2,413,"0 0 1/20 79/160 73/160","17/270 1/10 17/135 68/135 28/135",0,34,20
19,3,414,"5/32 7/16 13/32 0","1019/5400 1591/2700 1199/5400",0,34,20
20,1,415,"17/210 199/420 187/420","1427/5400 253/675 1949/5400",0,32,21
20,2,416,"0 0 17/210 107/210 43/105","7/180 4/45 17/135 121/270 161/540",0,32,21
20,3,417,"3/28 25/56 23/56 1/28","947/5400 2819/5400 817/2700",0,32,21
21,1,418,"1/40 87/160 69/160","203/1080 413/1080 58/135",0,34,22
21,2,419,"0 0 3/32 17/32 3/8","1/45 7/90 59/270 47/108 133/540",0,34,22
21,3,420,"3/32 79/160 61/160 1/32","19/216 139/216 29/108",0,34,22
22,1,421,"13/160 83/160 2/5","109/540 259/540 43/135",0,34,23
22,2,422,"0 0 49/480 259/480 43/120","4/135 1/15 121/540 247/540 2/9",0,34,23
22,3,423,"5/32 13/32 13/32 1/32","29/270 173/270 34/135",0,34,23
23,1,424,"31/425 913/1700 39/100","39/170 61/170 7/17",0,34,24
23,2,425,"1/85 0 109/510 229/510 83/255","3/34 11/340 29/170 79/170 83/340",0,34,24
23,3,426,"5/34 15/34 13/34 1/34","3/34 56/85 43/170",0,34,24
24,1,427,"23/160 73/160 2/5","127/850 783/1700 39/100",0,33,25
24,2,428,"0 0 51/320 153/320 29/80","8/85 3/85 41/170 69/170 19/85",0,33,25
24,3,429,"3/32 1/2 3/8 1/32","33/1700 321/425 383/1700",0,33,25
25,1,430,"1/18 41/90 22/45","388/1425 1999/5700 2149/5700",0,37,26
25,2,431,"0 0 1/10 47/90 17/45","31/570 21/190 31/114 43/114 53/285",0,37,26
25,3,432,"31/216 217/540 19/45 7/216","101/2850 4729/5700 769/5700",0,37,26
