round,playerid,gameid,payoff,id
0,53,1,17/2,184
0,59,1,31/4,185
0,61,1,5,186
0,38,1,43/6,187
0,65,1,9,188
0,53,2,11,189
0,59,2,14,190
0,61,2,17,191
0,38,2,7,192
0,65,2,10,193
0,53,3,7/2,194
0,59,3,29/8,195
0,61,3,19/4,196
0,38,3,59/12,197
0,65,3,7/3,198
1,31,1,351/40,199
1,41,1,351/40,200
1,48,1,351/40,201
1,53,1,351/40,202
1,59,1,593/80,203
1,61,1,131/20,204
1,63,1,1557/200,205
1,32,1,279/70,206
1,34,1,1133/140,207
1,38,1,1167/140,208
1,57,1,1696/175,209
1,31,2,79/8,210
1,41,2,79/8,211
1,48,2,209/40,212
1,53,2,209/40,213
1,59,2,151/20,214
1,61,2,209/40,215
1,63,2,1393/200,216
1,32,2,548/35,217
1,34,2,3,218
1,38,2,1793/175,219
1,57,2,2434/175,220
1,31,3,391/50,221
1,41,3,6,222
1,48,3,539/200,223
1,53,3,391/50,224
1,59,3,2103/400,225
1,61,3,361/40,226
1,63,3,11473/2000,227
1,32,3,6,228
1,34,3,932/175,229
1,38,3,4258/875,230
1,57,3,173/35,231
2,31,1,1871/360,232
2,41,1,635/72,233
2,48,1,635/72,234
2,53,1,553/60,235
2,59,1,5189/720,236
2,61,1,553/60,237
2,63,1,1871/360,238
2,32,1,125/14,239
2,34,1,7,240
2,38,1,453/56,241
2,55,1,355/42,242
2,57,1,272/35,243
2,60,1,115/14,244
2,31,2,461/40,245
2,41,2,51/4,246
2,48,2,461/40,247
2,53,2,461/40,248
2,59,2,971/80,249
2,61,2,461/40,250
2,63,2,461/40,251
2,32,2,271/14,252
2,34,2,1919/140,253
2,38,2,699/70,254
2,55,2,53/7,255
2,57,2,453/28,256
2,60,2,741/56,257
2,31,3,26/3,258
2,41,3,6,259
2,48,3,17/6,260
2,53,3,49/6,261
2,59,3,11/2,262
2,61,3,55/6,263
2,63,3,91/12,264
2,32,3,30/7,265
2,34,3,25/7,266
2,38,3,107/28,267
2,55,3,30/7,268
2,57,3,4,269
2,60,3,30/7,270
3,31,1,403/50,271
3,41,1,2573/300,272
3,48,1,2573/300,273
3,53,1,403/50,274
3,59,1,4991/600,275
3,61,1,403/50,276
3,63,1,2573/300,277
3,66,1,2573/300,278
3,32,1,125/16,279
3,34,1,255/32,280
3,38,1,279/32,281
3,55,1,101/16,282
3,57,1,6359/800,283
3,60,1,89/8,284
3,31,2,57/4,285
3,41,2,4687/360,286
3,48,2,4687/360,287
3,53,2,4687/360,288
3,59,2,9817/720,289
3,61,2,4687/360,290
3,63,2,9817/720,291
3,66,2,57/4,292
3,32,2,133/8,293
3,34,2,29/4,294
3,38,2,75/8,295
3,55,2,27/2,296
3,57,2,237/16,297
3,60,2,351/32,298
3,31,3,134/15,299
3,41,3,6,300
3,48,3,46/15,301
3,53,3,259/30,302
3,59,3,117/20,303
3,61,3,134/15,304
3,63,3,134/15,305
3,66,3,259/30,306
3,32,3,9/2,307
3,34,3,293/80,308
3,38,3,119/32,309
3,55,3,9/2,310
3,57,3,4,311
3,60,3,43/10,312
4,31,1,1424/175,313
4,41,1,1424/175,314
4,48,1,1424/175,315
4,53,1,4792/525,316
4,59,1,4532/525,317
4,61,1,4792/525,318
4,63,1,4792/525,319
4,71,1,1424/175,320
4,32,1,303/32,321
4,34,1,279/40,322
4,38,1,6359/800,323
4,55,1,339/40,324
4,56,1,95/12,325
4,57,1,303/32,326
4,60,1,89/8,327
4,31,2,813/70,328
4,41,2,66/7,329
4,48,2,66/7,330
4,53,2,66/7,331
4,59,2,1473/140,332
4,61,2,66/7,333
4,63,2,1473/140,334
