playerid,tries,rank,first,id
1,1,0,1541865590,1
1,1,1,1541865597,2
3,1,0,1541865914,3
4,1,0,1541865915,4
4,1,1,1541865928,5
3,1,1,1541865931,6
4,1,2,1541865937,7
4,1,3,1541865954,8
3,1,2,1541865955,9
4,1,4,1541865960,10
3,1,3,1541865969,11
4,1,5,1541865972,12
3,1,4,1541865975,13
4,1,6,1541865980,14
4,2,7,1541865984,15
3,1,5,1541865996,16
3,1,6,1541866004,17
3,1,7,1541866011,18
5,1,0,1541867129,19
5,1,1,1541867134,20
5,1,2,1541867139,21
5,1,3,1541867143,22
5,1,4,1541867148,23
5,1,5,1541867157,24
5,1,6,1541867163,25
5,1,7,1541867168,26
6,1,0,1541867328,27
7,1,0,1541869727,28
7,1,1,1541869738,29
7,1,2,1541869744,30
7,1,3,1541869750,31
7,1,4,1541869754,32
7,1,5,1541869770,33
7,1,6,1541869778,34
7,1,7,1541869783,35
8,1,0,1541876036,36
8,1,1,1541876043,37
8,1,2,1541876048,38
8,1,3,1541876058,39
8,1,4,1541876066,40
8,2,5,1541876079,41
8,1,6,1541876095,42
8,1,7,1541876101,43
9,1,0,1542134335,44
10,3,0,1542134349,45
9,1,1,1542134361,46
9,1,2,1542134366,47
9,1,3,1542134374,48
10,1,1,1542134382,49
9,1,4,1542134383,50
10,1,2,1542134392,51
9,1,5,1542134393,52
9,1,6,1542134399,53
10,1,3,1542134401,54
10,1,4,1542134406,55
9,1,7,1542134406,56
10,2,5,1542134413,57
10,1,6,1542134426,58
10,1,7,1542134431,59
19,1,0,1542641286,60
20,1,0,1542641326,61
20,1,1,1542641339,62
20,1,2,1542641347,63
20,1,3,1542641355,64
20,1,4,1542641367,65
20,1,5,1542641378,66
20,1,6,1542641384,67
20,1,7,1542641392,68
19,1,1,1542641412,69
19,1,2,1542641418,70
19,1,3,1542641426,71
19,1,4,1542641432,72
19,1,5,1542641446,73
19,1,6,1542641453,74
19,1,7,1542641458,75
53,1,0,1542647185,76
44,1,0,1542647191,77
59,1,0,1542647197,78
49,1,0,1542647197,79
57,1,0,1542647199,80
55,1,0,1542647201,81
32,1,0,1542647203,82
41,1,0,1542647204,83
59,1,1,1542647215,84
44,1,1,1542647218,85
38,1,0,1542647220,86
49,1,1,1542647220,87
48,1,0,1542647225,88
57,1,1,1542647227,89
32,1,1,1542647228,90
31,1,0,1542647232,91
59,1,2,1542647233,92
62,1,0,1542647235,93
60,1,0,1542647236,94
53,3,1,1542647237,95
33,1,0,1542647239,96
58,1,0,1542647242,97
49,2,2,1542647244,98
57,1,2,1542647245,99
48,1,1,1542647247,100
62,1,1,1542647248,101
44,6,2,1542647250,102
55,2,1,1542647251,103
32,1,2,1542647265,104
53,1,2,1542647268,105
49,1,3,1542647268,106
48,1,2,1542647274,107
31,1,1,1542647277,108
33,1,1,1542647279,109
41,1,1,1542647280,110
55,1,2,1542647281,111
57,2,3,1542647286,112
60,1,1,1542647286,113
59,1,3,1542647286,114
32,1,3,1542647292,115
41,1,2,1542647298,116
63,1,0,1542647299,117
59,1,4,1542647306,118
44,2,3,1542647307,119
31,1,2,1542647308,120
60,1,2,1542647309,121
65,1,0,1542647311,122
32,1,4,1542647314,123
57,1,4,1542647316,124
38,1,1,1542647320,125
34,1,0,1542647323,126
59,2,5,1542647323,127
32,1,5,1542647327,128
57,1,5,1542647328,129
33,1,2,1542647335,130
53,5,3,1542647335,131
57,1,6,1542647337,132
32,1,6,1542647340,133
38,1,2,1542647340,134
47,1,0,1542647347,135
63,1,1,1542647352,136
59,1,6,1542647353,137
55,1,3,1542647353,138
38,5,3,1542647368,139
32,1,7,1542647371,140
59,1,7,1542647373,141
53,3,4,1542647373,142
44,1,4,1542647374,143
31,1,3,1542647378,144
41,2,3,1542647379,145
34,5,1,1542647380,146
57,1,7,1542647380,147
66,1,0,1542647381,148
65,5,1,1542647384,149
53,6,5,1542647386,150
44,4,5,1542647388,151
47,1,1,1542647391,152
38,3,4,1542647394,153
63,1,2,1542647395,154
34,4,2,1542647400,155
68,1,0,1542647400,156
65,1,2,1542647404,157
67,1,0,1542647406,158
65,2,3,1542647409,159
60,3,3,1542647410,160
34,5,3,1542647411,161
48,3,3,1542647412,162
31,1,4,1542647413,163
33,1,3,1542647418,164
44,1,6,1542647418,165
38,1,5,1542647420,166
66,1,1,1542647422,167
69,1,0,1542647424,168
44,2,7,1542647427,169
47,1,2,1542647427,170
56,1,0,1542647429,171
37,1,0,1542647431,172
61,1,0,1542647433,173
31,1,5,1542647435,174
41,1,4,1542647435,175
35,1,0,1542647436,176
38,1,6,1542647436,177
34,6,4,1542647437,178
53,1,6,1542647437,179
65,2,4,1542647437,180
63,1,3,1542647439,181
33,1,4,1542647442,182
38,1,7,1542647446,183
66,1,2,1542647449,184
65,2,5,1542647455,185
48,1,4,1542647458,186
41,1,5,1542647463,187
33,1,5,1542647466,188
68,1,1,1542647467,189
31,1,6,1542647472,190
70,1,0,1542647473,191
61,1,1,1542647474,192
55,1,4,1542647476,193
48,2,5,1542647476,194
68,1,2,1542647478,195
53,1,7,1542647478,196
67,1,1,1542647478,197
65,1,6,1542647483,198
56,1,1,1542647483,199
60,1,4,1542647485,200
69,1,1,1542647485,201
41,1,6,1542647485,202
63,1,4,1542647491,203
33,1,6,1542647492,204
61,1,2,1542647493,205
47,5,3,1542647495,206
65,1,7,1542647498,207
34,1,5,1542647499,208
60,1,5,1542647503,209
34,2,6,1542647504,210
55,1,5,1542647511,211
48,1,6,1542647512,212
41,1,7,1542647513,213
34,2,7,1542647514,214
63,1,5,1542647517,215
61,1,3,1542647518,216
67,1,2,1542647520,217
60,1,6,1542647522,218
48,1,7,1542647523,219
37,1,1,1542647530,220
69,1,2,1542647533,221
71,1,0,1542647538,222
61,1,4,1542647541,223
56,1,2,1542647542,224
35,1,1,1542647544,225
55,1,6,1542647545,226
66,2,3,1542647548,227
63,1,6,1542647548,228
33,1,7,1542647552,229
60,2,7,1542647560,230
62,1,2,1542647561,231
31,1,7,1542647563,232
61,1,5,1542647571,233
63,1,7,1542647583,234
61,1,6,1542647585,235
37,1,2,1542647585,236
62,2,3,1542647586,237
56,1,3,1542647587,238
70,1,1,1542647588,239
66,1,4,1542647589,240
35,1,2,1542647592,241
55,1,7,1542647595,242
67,1,3,1542647603,243
